file name,manget,kb,mb,gb
24小时：再活一天.24.Live.Another.Day.S09E01-06.HD720P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:PQWTGDUJC6RCFPUHWB6JXTHBCB4DND3V,5325523.9169921875,5200.706950187683
24小时：再活一天.24.Live.Another.Day.S09E07.HD1080P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:5SIIHW2G4GSDEJ5XO4CW74OY42UL4OOH,1664000.119140625,1625.0001163482666
24小时：再活一天.24.Live.Another.Day.S09E07.HD720P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:SGT462I4ETPTABM6AGTJ2EVN3XNREAMW,893952.119140625,873.0001163482666
24小时：再活一天.24.Live.Another.Day.S09E08.HD1080P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:M5AJZ7VGVSEDEL2DMSCCT6A2TLDWTK6S,1673728.119140625,1634.5001163482666
24小时：再活一天.24.Live.Another.Day.S09E08.HD720P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:I63S7GTJYSYRYBMJ3W33YSNUR5XSW3AX,899840.119140625,878.7501163482666
24小时：再活一天.24.Live.Another.Day.S09E09.HD1080P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:NM2OJS64ZPWHB7FABRL3AJ7S2QBB4NSG,1671680.119140625,1632.5001163482666
24小时：再活一天.24.Live.Another.Day.S09E09.HD720P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:SZKDOUJGKNV5LT4HTAWROKTOKJKJ6II5,899328.119140625,878.2501163482666
24小时：再活一天.24.Live.Another.Day.S09E10.HD1080P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:XFXWERLUN5GOMT5YVT4A63O6ZOAAJR4A,1662464.119140625,1623.5001163482666
24小时：再活一天.24.Live.Another.Day.S09E10.HD720P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:42XAN2XHFJBXEZYNOFU2M2FTDPWUN34H,895744.119140625,874.7501163482666
24小时：再活一天.24.Live.Another.Day.S09E11.HD1080P.X264.AAC.english.CHS-ENG.Mp4Ba.torrent,magnet:?xt=urn:btih:YXZTPJHJWQNRHLAP2Z4RSD7BXWAYUCFV,1677824.119140625,1638.5001163482666
